  *****Zero #27*****
19,5,-1,-13,-17,7,-3,3.84454205e-3
*****Zero #28*****
19,17,-17,-3,-19,11,-7,3.70451745e-4
*****Zero #29*****
11,7,-1,1,-7,3,-1,3.06768935e-3
*****Zero #30*****
11,17,-5,5,17,-11,13,-4.64355049e-3
*****Zero #31*****
19,5,-2,0,-13,3,1,4.31350896e-3
*****Zero #32*****
1,13,1,-19,3,3,2,2.12733365e-3
*****Zero #33*****
13,13,-11,19,-7,-7,11,-4.99859233e-3
*****Zero #34*****
19,2,-17,13,19,-11,13,6.73211324e-4
*****Zero #35*****
1,17,-1,-11,-19,7,-3,9.04213770e-3
*****Zero #36*****
17,5,-2,-5,-3,3,1,5.48891461e-3
*****Zero #37*****
13,13,-7,-2,-19,7,-3,4.41785364e-3
*****Zero #38*****
2,19,-1,-11,-1,7,-5,5.31835955e-4
*****Zero #39*****
5,19,-1,5,-19,7,-5,7.27893663e-3
*****Zero #40*****
19,11,-5,-7,-13,13,-11,5.12802751e-3
*****Zero #41*****
17,13,-3,-11,-11,13,-11,1.31017436e-3
*****Zero #42*****
17,7,-11,5,-19,13,-11,7.85436453e-3
*****Zero #43*****
11,2,-5,-19,-1,7,-3,1.40192990e-2
*****Zero #44*****
2,17,-1,-3,-13,5,-2,6.49181364e-3
*****Zero #45*****
13,13,-1,-19,-5,13,-11,3.10670495e-2
