*****Zero #51*****
5,5,-17,-17,-3,11,-7,8.87474517e-4
*****Zero #52*****
3,19,-13,-11,-11,19,-17,6.34245858e-4
*****Zero #53*****
7,13,-3,7,-19,7,-5,8.43244796e-4
*****Zero #54*****
11,7,-19,-5,2,13,-11,8.96644206e-4
*****Zero #55*****
1,17,-19,1,-17,19,-17,4.12362268e-3
*****Zero #56*****
19,19,-11,-11,-2,7,-2,-6.31844023e-3
*****Zero #57*****
13,17,-3,-19,-5,7,-3,6.26533782e-3
*****Zero #58*****
2,17,-1,-19,-5,13,-11,9.53906327e-3
*****Zero #59*****
7,13,-13,2,-13,13,-11,1.41891707e-2
*****Zero #60*****
13,7,-5,-7,-17,7,-3,3.05502681e-3
