*****Zero #11*****
19,19,-7,11,19,-17,19,-8.93868014e-4
*****Zero #12*****
17,17,-2,-1,2,3,-2,-2.70754251e-3
*****Zero #13*****
17,17,-19,13,17,-11,13,2.32751134e-3
*****Zero #14*****
19,13,-2,-11,0,5,-2,1.25696998e-4
*****Zero #15*****
19,17,-1,-17,7,7,-5,3.38494736e-4
*****Zero #16*****
5,17,-2,-19,5,5,-1,2.24320987e-3
*****Zero #17*****
19,19,-13,5,-13,13,-11,3.78912803e-4
*****Zero #18*****
19,11,0,-11,2,5,-3,1.09452994e-3
*****Zero #19*****
17,11,7,-17,-7,2,2,1.63636629e-4
*****Zero #20*****
19,17,-11,0,-11,13,-11,3.84867415e-3
*****Zero #21*****
19,5,-7,-5,-13,13,-11,1.60235488e-3
*****Zero #22*****
2,11,-7,11,-19,5,-2,-2.21578713e-3
*****Zero #23*****
19,11,-11,0,3,7,-5,8.47005814e-4
*****Zero #24*****
2,7,-2,-11,0,7,-5,1.03242361e-2
*****Zero #25*****
13,7,-3,-13,-13,7,-3,4.43741498e-3
*****Zero #26*****
17,7,-2,-5,-19,13,-11,3.04292636e-3
